command:	/home/icgc/WORK/adachi/TOOL/callallSV/script/pe/detectGR -i .list.sam.tumor -l 1340 -ni .list.sam.normal -nl 1340 32
Job start:	20230303_11-48-28

log: normal_stp2ff-1/13	 [ filesize =	1471491 ] generated
log: normal_stp2ff-2/13	 [ filesize =	400725 ] generated
log: normal_stp2ff-3/13	 [ filesize =	161340 ] generated
log: normal_stp2ff-4/13	 [ filesize =	142165 ] generated
log: normal_stp2rf-1/16	 [ filesize =	4166640 ] generated
log: normal_stp2ff-5/13	 [ filesize =	125583 ] generated
log: normal_stp2rf-2/16	 [ filesize =	2089544 ] generated
log: normal_stp2fr-1/13	 [ filesize =	481699 ] generated
log: normal_stp2rr-1/13	 [ filesize =	1570085 ] generated
log: normal_stp2fr-2/13	 [ filesize =	202416 ] generated
log: normal_stp2rf-3/16	 [ filesize =	1258316 ] generated
log: normal_stp2rr-2/13	 [ filesize =	441891 ] generated
log: normal_stp2rr-3/13	 [ filesize =	170840 ] generated
log: normal_stp2fr-3/13	 [ filesize =	183892 ] generated
log: normal_stp2rf-4/16	 [ filesize =	1160323 ] generated
log: normal_stp2rr-4/13	 [ filesize =	150306 ] generated
log: normal_stp2rr-5/13	 [ filesize =	129986 ] generated
log: normal_stp2rf-5/16	 [ filesize =	1009515 ] generated
log: normal_stp2fr-4/13	 [ filesize =	165417 ] generated
log: normal_stp2ff-6a/13	 [ filesize =	20979 ] generated
log: normal_stp2ff-6b/13	 [ filesize =	23395 ] generated
log: normal_stp2rr-6a/13	 [ filesize =	24475 ] generated
log: normal_stp2rr-6b/13	 [ filesize =	21158 ] generated
log: normal_stp2rf-6/16	 [ filesize =	272907 ] generated
log: normal_stp2fr-5/13	 [ filesize =	50881 ] generated
log: normal_stp2rf-7/16	 [ filesize =	269843 ] generated
log: normal_stp2rr-7a/13	 [ filesize =	24404 ] generated
log: normal_stp2rr-7b/13	 [ filesize =	21148 ] generated
log: normal_stp2fr-6/13	 [ filesize =	48350 ] generated
log: normal_stp2tr-1/28	 [ filesize =	25631315 ] generated
log: normal_stp2rf-8/16	 [ filesize =	1001595 ] generated
log: normal_stp2ff-7a/13	 [ filesize =	20903 ] generated
log: normal_stp2ff-7b/13	 [ filesize =	23356 ] generated
log: normal_stp2fr-7/13	 [ filesize =	164121 ] generated
log: normal_stp2rr-8a/13	 [ filesize =	65560 ] generated
log: normal_stp2rr-8b/13	 [ filesize =	63418 ] generated
log: normal_stp2ff-8a/13	 [ filesize =	61015 ] generated
log: normal_stp2ff-8b/13	 [ filesize =	63596 ] generated
log: normal_stp2tr-2/28	 [ filesize =	4498895 ] generated
log: normal_stp2tr-3/28	 [ filesize =	3390682 ] generated
log: normal_stp2fr-8/13	 [ filesize =	82514 ] generated
log: normal_stp2rr-9a/13	 [ filesize =	5757 ] generated
log: normal_stp2rr-9b/13	 [ filesize =	5996 ] generated
log: normal_stp2rr-10/13	 [ filesize =	3846 ] generated
log: normal_stp2rf-9/16	 [ filesize =	504318 ] generated
log: normal_stp2rr-11/13	 [ filesize =	3846 ] generated
log: normal_stp2rf-10/16	 [ filesize =	27625 ] generated
log: normal_stp2rf-11/16	 [ filesize =	27139 ] generated
log: normal_stp2rr-12/13	 [ filesize =	3846 ] generated
log: normal_stp2tr-4/28	 [ filesize =	3033972 ] generated
log: normal_stp2rr-13/13	 [ filesize =	3846 ] generated
log: normal_stp2rf-12/16	 [ filesize =	16728 ] generated
log: normal_stp2rf-13/16	 [ filesize =	14217 ] generated
log: normal_stp2rf-14/16	 [ filesize =	6850 ] generated
log: normal_stp2rf-15/16	 [ filesize =	6850 ] generated
log: normal_stp2rf-15.5/16	 [ filesize =	6850 ] generated
log: normal_stp2rf-16/16	 [ filesize =	6850 ] generated
log: normal_stp2tr-5/28	 [ filesize =	1001423 ] generated
log: normal_stp2tr-6/28	 [ filesize =	1032816 ] generated
log: normal_stp2tr-7/28	 [ filesize =	2986464 ] generated
log: normal_stp2tr-9/28	 [ filesize =	700015 ] generated
log: normal_stp2fr-9/13	 [ filesize =	50800 ] generated
log: normal_stp2ff-9a/13	 [ filesize =	5784 ] generated
log: normal_stp2ff-9b/13	 [ filesize =	5905 ] generated
log: normal_stp2ff-10/13	 [ filesize =	0 ] generated
log: normal_stp2ff-11/13	 [ filesize =	0 ] generated
log: normal_stp2fr-10/13	 [ filesize =	51970 ] generated
log: normal_stp2ff-12/13	 [ filesize =	0 ] generated
log: normal_stp2ff-13/13	 [ filesize =	0 ] generated
log: normal_stp2fr-11/13	 [ filesize =	73757 ] generated
log: normal_stp2fr-12/13	 [ filesize =	73757 ] generated
log: normal_stp2fr-12.5/13	 [ filesize =	73757 ] generated
log: normal_stp2fr-13/13	 [ filesize =	73757 ] generated
log: normal_stp2tr-8/28	 [ filesize =	761233 ] generated
log: tumor_stp2fr-1/13	 [ filesize =	1227933 ] generated
log: tumor_stp2rr-1/13	 [ filesize =	2449486 ] generated
log: tumor_stp2rr-2/13	 [ filesize =	1046541 ] generated
log: tumor_stp2rr-3/13	 [ filesize =	712698 ] generated
log: tumor_stp2rr-4/13	 [ filesize =	652061 ] generated
log: tumor_stp2ff-1/13	 [ filesize =	2500365 ] generated
log: tumor_stp2ff-2/13	 [ filesize =	1124132 ] generated
log: tumor_stp2ff-3/13	 [ filesize =	750999 ] generated
log: tumor_stp2ff-4/13	 [ filesize =	668403 ] generated
log: tumor_stp2fr-2/13	 [ filesize =	802610 ] generated
log: tumor_stp2fr-3/13	 [ filesize =	751001 ] generated
log: tumor_stp2rr-5/13	 [ filesize =	583468 ] generated
log: tumor_stp2fr-4/13	 [ filesize =	689003 ] generated
log: tumor_stp2fr-5/13	 [ filesize =	202619 ] generated
log: tumor_stp2ff-5/13	 [ filesize =	606329 ] generated
log: tumor_stp2fr-6/13	 [ filesize =	167617 ] generated
log: tumor_stp2fr-7/13	 [ filesize =	683627 ] generated
log: tumor_stp2ff-6a/13	 [ filesize =	93301 ] generated
log: tumor_stp2rr-6a/13	 [ filesize =	95332 ] generated
log: tumor_stp2ff-6b/13	 [ filesize =	102168 ] generated
log: tumor_stp2rr-6b/13	 [ filesize =	89542 ] generated
log: tumor_stp2ff-7a/13	 [ filesize =	86659 ] generated
log: tumor_stp2ff-7b/13	 [ filesize =	95428 ] generated
log: tumor_stp2ff-8a/13	 [ filesize =	296408 ] generated
log: tumor_stp2ff-8b/13	 [ filesize =	305223 ] generated
log: tumor_stp2rr-7a/13	 [ filesize =	87923 ] generated
log: tumor_stp2rr-7b/13	 [ filesize =	82008 ] generated
log: tumor_stp2fr-8/13	 [ filesize =	344459 ] generated
log: tumor_stp2rr-8a/13	 [ filesize =	293481 ] generated
log: tumor_stp2rr-8b/13	 [ filesize =	285469 ] generated
log: tumor_stp2rf-1/16	 [ filesize =	6436295 ] generated
log: tumor_stp2rf-2/16	 [ filesize =	3903523 ] generated
log: tumor_stp2rf-3/16	 [ filesize =	2742069 ] generated
log: tumor_stp2rf-4/16	 [ filesize =	2571307 ] generated
log: tumor_stp2rf-5/16	 [ filesize =	2331760 ] generated
log: tumor_stp2rf-6/16	 [ filesize =	643473 ] generated
log: tumor_stp2rf-7/16	 [ filesize =	607506 ] generated
log: tumor_stp2rf-8/16	 [ filesize =	2313502 ] generated
log: tumor_stp2rf-9/16	 [ filesize =	1165496 ] generated
log: tumor_stp2tr-1/28	 [ filesize =	42592476 ] generated
log: tumor_stp2tr-2/28	 [ filesize =	12610202 ] generated
log: tumor_stp2tr-3/28	 [ filesize =	10332550 ] generated
log: tumor_stp2tr-4/28	 [ filesize =	9370717 ] generated
log: tumor_stp2tr-5/28	 [ filesize =	2975530 ] generated
log: tumor_stp2tr-6/28	 [ filesize =	3047915 ] generated
log: tumor_stp2tr-7/28	 [ filesize =	9223789 ] generated
log: tumor_stp2tr-9/28	 [ filesize =	2330264 ] generated
log: normal_stp2tr-10/28	 [ filesize =	23165 ] generated
log: tumor_stp2fr-9/13	 [ filesize =	294466 ] generated
log: normal_stp2tr-12/28	 [ filesize =	21179 ] generated
log: tumor_stp2ff-9a/13	 [ filesize =	142679 ] generated
log: normal_stp2tr-11/28	 [ filesize =	56702 ] generated
log: tumor_stp2ff-9b/13	 [ filesize =	143403 ] generated
log: normal_stp2tr-13/28	 [ filesize =	63250 ] generated
log: tumor_stp2fr-10/13	 [ filesize =	294406 ] generated
log: tumor_stp2ff-10/13	 [ filesize =	259710 ] generated
log: tumor_stp2ff-11/13	 [ filesize =	250487 ] generated
log: tumor_stp2fr-11/13	 [ filesize =	553057 ] generated
log: tumor_stp2ff-12/13	 [ filesize =	250487 ] generated
log: tumor_stp2ff-13/13	 [ filesize =	250487 ] generated
log: normal_stp2tr-17/28	 [ filesize =	0 ] generated
log: tumor_stp2fr-12/13	 [ filesize =	552306 ] generated
log: normal_stp2tr-15/28	 [ filesize =	1559 ] generated
log: normal_stp2tr-14/28	 [ filesize =	0 ] generated
log: normal_stp2tr-18/28	 [ filesize =	0 ] generated
log: normal_stp2tr-25/28	 [ filesize =	0 ] generated
log: tumor_stp2rf-10/16	 [ filesize =	283310 ] generated
log: tumor_stp2rr-9a/13	 [ filesize =	154467 ] generated
log: tumor_stp2rr-9b/13	 [ filesize =	151677 ] generated
log: tumor_stp2rf-11/16	 [ filesize =	281083 ] generated
log: normal_stp2tr-26/28	 [ filesize =	0 ] generated
log: normal_stp2tr-19/28	 [ filesize =	0 ] generated
log: tumor_stp2fr-12.5/13	 [ filesize =	552306 ] generated
log: tumor_stp2fr-13/13	 [ filesize =	552306 ] generated
log: normal_stp2tr-27/28	 [ filesize =	0 ] generated
log: tumor_stp2rf-12/16	 [ filesize =	204440 ] generated
log: normal_stp2tr-27.5/28	 [ filesize =	0 ] generated
log: normal_stp2tr-20/28	 [ filesize =	0 ] generated
log: tumor_stp2rf-13/16	 [ filesize =	201865 ] generated
log: tumor_stp2rr-10/13	 [ filesize =	318457 ] generated
log: normal_stp2tr-28/28	 [ filesize =	0 ] generated
log: tumor_stp2rr-11/13	 [ filesize =	283867 ] generated
log: tumor_stp2rf-14/16	 [ filesize =	402939 ] generated
log: tumor_stp2rr-12/13	 [ filesize =	283867 ] generated
log: tumor_stp2rr-13/13	 [ filesize =	283867 ] generated
log: normal_stp2tr-20.5/28	 [ filesize =	0 ] generated
log: normal_stp2tr-21/28	 [ filesize =	0 ] generated
log: tumor_stp2rf-15/16	 [ filesize =	367254 ] generated
log: tumor_stp2rf-15.5/16	 [ filesize =	367254 ] generated
log: normal_stp2tr-16/28	 [ filesize =	1665 ] generated
log: normal_stp2tr-22/28	 [ filesize =	3218 ] generated
log: normal_stp2tr-23/28	 [ filesize =	3218 ] generated
log: normal_stp2tr-23.5/28	 [ filesize =	3218 ] generated
log: normal_stp2tr-24/28	 [ filesize =	3218 ] generated
log: tumor_stp2rf-16/16	 [ filesize =	367254 ] generated
log: tumor_stp2tr-13/28	 [ filesize =	246712 ] generated
log: tumor_stp2tr-12/28	 [ filesize =	173676 ] generated
log: tumor_stp2tr-14/28	 [ filesize =	30190 ] generated
log: tumor_stp2tr-17/28	 [ filesize =	70677 ] generated
log: tumor_stp2tr-18/28	 [ filesize =	60332 ] generated
log: tumor_stp2tr-25/28	 [ filesize =	141246 ] generated
log: tumor_stp2tr-19/28	 [ filesize =	30166 ] generated
log: tumor_stp2tr-20/28	 [ filesize =	30166 ] generated
log: tumor_stp2tr-20.5/28	 [ filesize =	30166 ] generated
log: tumor_stp2tr-26/28	 [ filesize =	70623 ] generated
log: tumor_stp2tr-27/28	 [ filesize =	70623 ] generated
log: tumor_stp2tr-27.5/28	 [ filesize =	70623 ] generated
log: tumor_stp2tr-28/28	 [ filesize =	70623 ] generated
log: tumor_stp2tr-21/28	 [ filesize =	30166 ] generated
log: tumor_stp2tr-8/28	 [ filesize =	2319728 ] generated
log: tumor_stp2tr-10/28	 [ filesize =	194319 ] generated
log: tumor_stp2tr-11/28	 [ filesize =	237855 ] generated
log: tumor_stp2tr-15/28	 [ filesize =	66540 ] generated
log: tumor_stp2tr-16/28	 [ filesize =	68494 ] generated
log: tumor_stp2tr-22/28	 [ filesize =	134920 ] generated
log: tumor_stp2tr-23/28	 [ filesize =	134920 ] generated
log: tumor_stp2tr-23.5/28	 [ filesize =	134920 ] generated
log: tumor_stp2tr-24/28	 [ filesize =	134920 ] generated
log: normal_stp3cluster-1/7	 [	12 cluster,	filesize =	73757 ] generated
log: normal_stp3cluster-2/7	 [	0 cluster,	filesize =	0 ] generated
log: normal_stp3cluster-3/7	 [	1 cluster,	filesize =	3846 ] generated
log: normal_stp3cluster-4/7	 [	1 cluster,	filesize =	3100 ] generated
log: normal_stp3cluster-5/7	 [	1 cluster,	filesize =	3218 ] generated
log: normal_stp3cluster-6/7	 [	0 cluster,	filesize =	0 ] generated
log: normal_stp3cluster-7/7	 [	0 cluster,	filesize =	0 ] generated
log: tumor_stp3cluster-1/7	 [	24 cluster,	filesize =	346829 ] generated
log: tumor_stp3cluster-2/7	 [	14 cluster,	filesize =	174520 ] generated
log: tumor_stp3cluster-3/7	 [	10 cluster,	filesize =	74764 ] generated
log: tumor_stp3cluster-4/7	 [	14 cluster,	filesize =	171621 ] generated
log: tumor_stp3cluster-5/7	 [	14 cluster,	filesize =	113258 ] generated
log: tumor_stp3cluster-6/7	 [	3 cluster,	filesize =	27098 ] generated
log: tumor_stp3cluster-7/7	 [	7 cluster,	filesize =	55145 ] generated
log: tumor_stp4trans_fr-1/10	 [ filesize =	21156 ] generated
log: tumor_stp4tdm-1/13	 [ filesize =	216363 ] generated
log: tumor_stp4del-1/13	 [ filesize =	291336 ] generated
log: tumor_stp4trans_ff-1/10	 [ filesize =	4887 ] generated
log: tumor_stp4inv-1/20	 [ filesize =	217206 ] generated
log: tumor_stp4trans_rr-1/10	 [ filesize =	11269 ] generated
log: tumor_stp4inv-2/20	 [ filesize =	95080 ] generated
log: tumor_stp4trans_ff-2/10	 [	4 cluster,	filesize =	239 ] generated
log: tumor_stp4trans_fr-2/10	 [	18 cluster,	filesize =	1073 ] generated
log: tumor_stp4inv-3/20	 [	50 cluster,	filesize =	2996 ] generated
log: tumor_stp4inv-4/20	 [	49 cluster,	filesize =	2936 ] generated
log: tumor_stp4trans_rr-2/10	 [	9 cluster,	filesize =	538 ] generated
log: tumor_stp4trans_fr-3/10	 [	18 cluster,	filesize =	130977 ] generated
log: tumor_stp4trans_rr-3/10	 [	209 cluster,	filesize =	70623 ] generated
log: tumor_stp4trans_ff-3/10	 [	4 cluster,	filesize =	30166 ] generated
log: tumor_stp4trans_ff-4/10	 [	4 cluster,	filesize =	240 ] generated
log: tumor_stp4trans_rr-4/10	 [	9 cluster,	filesize =	542 ] generated
log: tumor_stp4trans_rr-5/10	 [	9 cluster,	filesize =	70623 ] generated
log: tumor_stp4trans_ff-5/10	 [	4 cluster,	filesize =	30166 ] generated
log: tumor_stp4trans_rr-6/10	 [	9 cluster,	filesize =	70623 ] generated
log: tumor_stp4trans_ff-6/10	 [	4 cluster,	filesize =	30166 ] generated
log: tumor_stp4trans_rr-7/10	 [	9 cluster,	filesize =	70623 ] generated
log: tumor_stp4trans_rr-8/10	 [	7 cluster,	filesize =	55145 ] generated
log: tumor_stp4trans_ff-7/10	 [	4 cluster,	filesize =	30166 ] generated
log: tumor_stp4tdm-2/13	 [	31 cluster,	filesize =	1856 ] generated
