command:	/home/icgc/WORK/adachi/TOOL/revisePckg/clone0308_callallSV/script/pe/detectGR -i .list.sam.tumor -l 1340 -ni .list.sam.normal -nl 1340 32
Job start:	20230524_19-53-27

log: normal_stp2rr-1/13	 [ filesize =	1422751 ] generated
log: normal_stp2ff-1/13	 [ filesize =	1585374 ] generated
log: normal_stp2rr-2/13	 [ filesize =	1419797 ] generated
log: normal_stp2fr-1/13	 [ filesize =	1930773 ] generated
log: normal_stp2fr-2/13	 [ filesize =	1930773 ] generated
log: normal_stp2rr-3/13	 [ filesize =	1403297 ] generated
log: normal_stp2ff-2/13	 [ filesize =	1585374 ] generated
log: normal_stp2ff-3/13	 [ filesize =	1585374 ] generated
log: tumor_stp2ff-1/13	 [ filesize =	4235433 ] generated
log: normal_stp2rr-4/13	 [ filesize =	1403297 ] generated
log: normal_stp2fr-3/13	 [ filesize =	1930773 ] generated
log: tumor_stp2rr-1/13	 [ filesize =	4038977 ] generated
log: normal_stp2rf-1/16	 [ filesize =	1667444 ] generated
log: normal_stp2tr-1/28	 [ filesize =	309821 ] generated
log: normal_stp2rr-5/13	 [ filesize =	594577 ] generated
log: normal_stp2tr-2/28	 [ filesize =	306735 ] generated
log: normal_stp2fr-4/13	 [ filesize =	1000423 ] generated
log: normal_stp2rf-2/16	 [ filesize =	1627827 ] generated
log: tumor_stp2ff-2/13	 [ filesize =	4177474 ] generated
log: normal_stp2ff-4/13	 [ filesize =	1585374 ] generated
log: normal_stp2tr-3/28	 [ filesize =	306735 ] generated
log: tumor_stp2rf-1/16	 [ filesize =	3903700 ] generated
log: tumor_stp2fr-1/13	 [ filesize =	3578241 ] generated
log: tumor_stp2rr-2/13	 [ filesize =	4031596 ] generated
log: tumor_stp2tr-1/28	 [ filesize =	7345942 ] generated
log: normal_stp2ff-5/13	 [ filesize =	665156 ] generated
log: normal_stp2rf-3/16	 [ filesize =	1578299 ] generated
log: tumor_stp2ff-3/13	 [ filesize =	4114525 ] generated
log: tumor_stp2rf-2/16	 [ filesize =	3789455 ] generated
log: tumor_stp2fr-2/13	 [ filesize =	3564049 ] generated
log: normal_stp2fr-5/13	 [ filesize =	134044 ] generated
log: tumor_stp2rr-3/13	 [ filesize =	3999840 ] generated
log: normal_stp2rf-4/16	 [ filesize =	1578299 ] generated
log: tumor_stp2tr-2/28	 [ filesize =	7070528 ] generated
log: normal_stp2fr-6/13	 [ filesize =	108966 ] generated
log: tumor_stp2rf-3/16	 [ filesize =	3643224 ] generated
