command:	/home/icgc/WORK/adachi/TOOL/callallSV/script/pe/detectGR -i .list.sam.tumor -l 1510 -ni .list.sam.normal -nl 1410 32
Job start:	20230303_11-59-13

log: tumor_stp2fr-1/13	 [ filesize =	1178957 ] generated
log: tumor_stp2fr-2/13	 [ filesize =	784719 ] generated
log: normal_stp2rr-1/13	 [ filesize =	1558128 ] generated
log: tumor_stp2ff-1/13	 [ filesize =	2457358 ] generated
log: tumor_stp2fr-3/13	 [ filesize =	728507 ] generated
log: tumor_stp2ff-2/13	 [ filesize =	1087961 ] generated
log: normal_stp2rr-2/13	 [ filesize =	438541 ] generated
log: tumor_stp2ff-3/13	 [ filesize =	731040 ] generated
log: normal_stp2rr-3/13	 [ filesize =	175040 ] generated
log: tumor_stp2ff-4/13	 [ filesize =	657310 ] generated
log: tumor_stp2fr-4/13	 [ filesize =	663535 ] generated
log: tumor_stp2ff-5/13	 [ filesize =	593429 ] generated
log: normal_stp2ff-1/13	 [ filesize =	1517378 ] generated
log: normal_stp2ff-2/13	 [ filesize =	390315 ] generated
log: normal_stp2ff-3/13	 [ filesize =	146904 ] generated
log: normal_stp2rf-1/16	 [ filesize =	4145948 ] generated
log: normal_stp2fr-1/13	 [ filesize =	474184 ] generated
log: normal_stp2ff-4/13	 [ filesize =	127609 ] generated
log: normal_stp2rf-2/16	 [ filesize =	2068338 ] generated
log: normal_stp2ff-5/13	 [ filesize =	115204 ] generated
log: tumor_stp2fr-5/13	 [ filesize =	190150 ] generated
log: normal_stp2fr-2/13	 [ filesize =	191418 ] generated
log: normal_stp2rf-3/16	 [ filesize =	1252652 ] generated
log: tumor_stp2rr-1/13	 [ filesize =	2612299 ] generated
log: normal_stp2rr-4/13	 [ filesize =	150075 ] generated
log: normal_stp2ff-6a/13	 [ filesize =	19734 ] generated
log: tumor_stp2tr-1/28	 [ filesize =	42771490 ] generated
log: normal_stp2ff-6b/13	 [ filesize =	21905 ] generated
log: normal_stp2fr-3/13	 [ filesize =	160239 ] generated
log: tumor_stp2rf-1/16	 [ filesize =	6494263 ] generated
log: normal_stp2rf-4/16	 [ filesize =	1154267 ] generated
log: tumor_stp2ff-6a/13	 [ filesize =	91469 ] generated
log: tumor_stp2ff-6b/13	 [ filesize =	99787 ] generated
log: normal_stp2rr-5/13	 [ filesize =	129852 ] generated
log: normal_stp2fr-4/13	 [ filesize =	145675 ] generated
log: normal_stp2rf-5/16	 [ filesize =	983528 ] generated
log: tumor_stp2fr-6/13	 [ filesize =	157981 ] generated
log: tumor_stp2rr-2/13	 [ filesize =	1136004 ] generated
log: normal_stp2ff-7a/13	 [ filesize =	19703 ] generated
log: normal_stp2ff-7b/13	 [ filesize =	21863 ] generated
log: tumor_stp2ff-7a/13	 [ filesize =	84087 ] generated
log: tumor_stp2rr-3/13	 [ filesize =	743441 ] generated
log: tumor_stp2ff-7b/13	 [ filesize =	92573 ] generated
log: normal_stp2rr-6a/13	 [ filesize =	24058 ] generated
log: normal_stp2rr-6b/13	 [ filesize =	21606 ] generated
log: tumor_stp2fr-7/13	 [ filesize =	658357 ] generated
log: normal_stp2rr-7a/13	 [ filesize =	24062 ] generated
log: tumor_stp2rr-4/13	 [ filesize =	669157 ] generated
log: normal_stp2rr-7b/13	 [ filesize =	21527 ] generated
log: normal_stp2rf-6/16	 [ filesize =	270786 ] generated
log: tumor_stp2rf-2/16	 [ filesize =	3934632 ] generated
log: tumor_stp2rr-5/13	 [ filesize =	593457 ] generated
log: tumor_stp2rf-3/16	 [ filesize =	2834107 ] generated
log: tumor_stp2tr-2/28	 [ filesize =	12868379 ] generated
log: tumor_stp2ff-8a/13	 [ filesize =	290237 ] generated
log: tumor_stp2ff-8b/13	 [ filesize =	298584 ] generated
log: normal_stp2rf-7/16	 [ filesize =	267634 ] generated
log: normal_stp2rr-8a/13	 [ filesize =	65412 ] generated
log: normal_stp2rr-8b/13	 [ filesize =	63432 ] generated
log: normal_stp2fr-5/13	 [ filesize =	45894 ] generated
