command:	/home/__User_Directory__/callallSV/script/pe/detectGR -i .list.sam.tumor -l 1510 -ni .list.sam.normal -nl 1410 32
Job start:	20230309_15-29-52

log: normal_stp2ff-1/13	 [ filesize =	239797 ] generated
log: normal_stp2rr-1/13	 [ filesize =	216991 ] generated
log: normal_stp2ff-2/13	 [ filesize =	61969 ] generated
log: normal_stp2rr-2/13	 [ filesize =	56844 ] generated
log: normal_stp2rf-1/16	 [ filesize =	602725 ] generated
log: normal_stp2fr-1/13	 [ filesize =	71645 ] generated
log: normal_stp2ff-3/13	 [ filesize =	17098 ] generated
log: normal_stp2fr-2/13	 [ filesize =	26029 ] generated
log: normal_stp2rr-3/13	 [ filesize =	17853 ] generated
log: normal_stp2rf-2/16	 [ filesize =	299610 ] generated
log: normal_stp2rf-3/16	 [ filesize =	190990 ] generated
log: normal_stp2rr-4/13	 [ filesize =	14879 ] generated
log: normal_stp2fr-3/13	 [ filesize =	22301 ] generated
log: normal_stp2ff-4/13	 [ filesize =	14861 ] generated
log: normal_stp2rf-4/16	 [ filesize =	179126 ] generated
log: normal_stp2ff-5/13	 [ filesize =	14861 ] generated
log: normal_stp2fr-4/13	 [ filesize =	21553 ] generated
log: normal_stp2rf-5/16	 [ filesize =	167984 ] generated
log: normal_stp2rr-5/13	 [ filesize =	14136 ] generated
log: normal_stp2fr-5/13	 [ filesize =	5611 ] generated
log: normal_stp2rf-6/16	 [ filesize =	27861 ] generated
log: normal_stp2fr-6/13	 [ filesize =	5649 ] generated
log: normal_stp2rr-6a/13	 [ filesize =	3014 ] generated
log: normal_stp2ff-6a/13	 [ filesize =	3003 ] generated
log: normal_stp2rr-6b/13	 [ filesize =	2899 ] generated
log: normal_stp2ff-6b/13	 [ filesize =	3082 ] generated
log: normal_stp2fr-7/13	 [ filesize =	21379 ] generated
log: normal_stp2rf-7/16	 [ filesize =	27761 ] generated
log: normal_stp2rr-7a/13	 [ filesize =	3038 ] generated
log: normal_stp2rf-8/16	 [ filesize =	166622 ] generated
log: normal_stp2rr-7b/13	 [ filesize =	2947 ] generated
