command:	/home/icgc/WORK/adachi/TOOL/revisePckg/clone0308_callallSV/script/pe/detectGR -i .list.sam.tumor -l 1510 -ni .list.sam.normal -nl 1410 32
Job start:	20230524_20-00-42

log: normal_stp2ff-1/13	 [ filesize =	2630179 ] generated
log: normal_stp2fr-1/13	 [ filesize =	3518876 ] generated
log: normal_stp2rr-1/13	 [ filesize =	2565816 ] generated
log: normal_stp2ff-2/13	 [ filesize =	2620588 ] generated
log: normal_stp2fr-2/13	 [ filesize =	3518876 ] generated
log: normal_stp2rr-2/13	 [ filesize =	2545834 ] generated
log: normal_stp2ff-3/13	 [ filesize =	2615956 ] generated
log: tumor_stp2rf-1/16	 [ filesize =	7777953 ] generated
log: normal_stp2rf-1/16	 [ filesize =	2872751 ] generated
log: normal_stp2fr-3/13	 [ filesize =	3515133 ] generated
log: normal_stp2ff-4/13	 [ filesize =	2615956 ] generated
log: normal_stp2tr-1/28	 [ filesize =	291123 ] generated
log: normal_stp2rr-3/13	 [ filesize =	2490911 ] generated
log: normal_stp2rf-2/16	 [ filesize =	2761673 ] generated
log: tumor_stp2ff-1/13	 [ filesize =	7868563 ] generated
log: normal_stp2ff-5/13	 [ filesize =	984741 ] generated
log: normal_stp2tr-2/28	 [ filesize =	261032 ] generated
log: normal_stp2fr-4/13	 [ filesize =	1782039 ] generated
log: tumor_stp2rf-2/16	 [ filesize =	7542851 ] generated
log: normal_stp2rf-3/16	 [ filesize =	2648034 ] generated
log: normal_stp2tr-3/28	 [ filesize =	261032 ] generated
log: normal_stp2rr-4/13	 [ filesize =	2490911 ] generated
log: tumor_stp2rr-1/13	 [ filesize =	7707503 ] generated
log: tumor_stp2tr-1/28	 [ filesize =	6678778 ] generated
log: normal_stp2rf-4/16	 [ filesize =	2648034 ] generated
log: tumor_stp2ff-2/13	 [ filesize =	7793875 ] generated
log: normal_stp2rr-5/13	 [ filesize =	950881 ] generated
log: tumor_stp2rf-3/16	 [ filesize =	7322416 ] generated
